,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,day
35,frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.02825414163480794,0.1713089386491899,0.010449663207718915,0.36984536082474223,2.158937903305323,0.00560947619181608,1.3150598437796086,Sun
23,frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03506280720917532,0.1713089386491899,0.012925541598397962,0.36863966770508827,2.1518997818321464,0.006918969309332975,1.3125485067118916,Sun
43,frozenset({'Strawberries'}),frozenset({'Banana'}),0.056799563080284,0.1713089386491899,0.020353176770435098,0.3583333333333333,2.09173751328374,0.010622903903413935,1.2914665891181454,Sun
9,frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.06906972510467868,0.12958310577098126,0.022901875113781178,0.33157617290458624,2.55879167991696,0.013951605619969,1.3021930980697545,Sun
21,frozenset({'Broccoli Crown'}),frozenset({'Banana'}),0.03222282905516111,0.1713089386491899,0.010522483160385945,0.32655367231638416,1.9062266971667354,0.005002424514672016,1.2305228008313203,Sun
10,frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.050172947387584196,0.12958310577098126,0.015983979610413254,0.31857764876632805,2.4584813496395617,0.009482413262246053,1.2773530141081872,Sun
28,frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.07394866193336974,0.1713089386491899,0.023302384853449844,0.3151157065484983,1.8394586355695017,0.010634318063116523,1.2099723548551369,Sun
78,frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.050172947387584196,0.10209357363917713,0.015656289823411614,0.3120464441219158,3.0564748886620605,0.010533954324602727,1.3051846577270187,Sun
45,frozenset({'Yellow Onions'}),frozenset({'Banana'}),0.0388130347715274,0.1713089386491899,0.012051702166393593,0.31050656660412757,1.8125532097305765,0.005402682373929131,1.201883906666617,Sun
59,frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.03426178772983798,0.058692881849626795,0.010522483160385945,0.30712008501594046,5.232663235088589,0.008511560101201571,1.3585429419930999,Sun
41,frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.0369197160021846,0.1713089386491899,0.011177862734389223,0.30276134122287973,1.767341176766502,0.004853185370825468,1.188532865926056,Sun
13,frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.10209357363917713,0.12958310577098126,0.029746950664482068,0.2913694721825963,2.24851434489885,0.016517348313059114,1.2283084908999338,Sun
25,frozenset({'Large Lemon'}),frozenset({'Banana'}),0.08086655743673767,0.1713089386491899,0.023229564900782814,0.2872579918955425,1.6768418166654782,0.009376400774081532,1.1626802572710986,Sun
6,frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.04624066994356454,0.12958310577098126,0.01285272164573093,0.2779527559055118,2.1449768027380953,0.0068607120215129725,1.2054846844829374,Sun
73,frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.04463863098488986,0.10209357363917713,0.012160932095394138,0.2724306688417618,2.6684409128883697,0.00760361473578623,1.2341180254690234,Sun
46,frozenset({'Limes'}),frozenset({'Large Lemon'}),0.058692881849626795,0.08086655743673767,0.015073730202075369,0.2568238213399504,3.175896557002133,0.010327438900854866,1.2367638642837888,Sun
26,frozenset({'Limes'}),frozenset({'Banana'}),0.058692881849626795,0.1713089386491899,0.014818860367740761,0.2524813895781638,1.4738366343813536,0.004764245071818893,1.1085892040643202,Sun
14,frozenset({'Organic Whole Milk'}),frozenset({'Bag of Organic Bananas'}),0.041980702712543234,0.12958310577098126,0.01034043327871837,0.2463139635732871,1.900818491020042,0.00490044343877876,1.1548799528723346,Sun
16,frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.04329146186054979,0.12958310577098126,0.010595303113052977,0.24474348191757783,1.8886989971526482,0.004985461031796953,1.1524784935838566,Sun
18,frozenset({'Organic Zucchini'}),frozenset({'Bag of Organic Bananas'}),0.04871654833424358,0.12958310577098126,0.011651192426724922,0.23916292974588937,1.8456335671455046,0.005338350791131516,1.1440253482106355,Sun
64,frozenset({'Organic Cucumber'}),frozenset({'Organic Baby Spinach'}),0.04624066994356454,0.09619515747314764,0.010922992900054615,0.23622047244094488,2.45563787872466,0.00647486437316958,1.1833321134114458,Sun
74,frozenset({'Organic Cucumber'}),frozenset({'Organic Strawberries'}),0.04624066994356454,0.10209357363917713,0.0108865829237211,0.23543307086614174,2.306051815741292,0.0061657076817129095,1.1743987244884089,Sun
77,frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.06906972510467868,0.10209357363917713,0.0160932095394138,0.23299947285187136,2.2822148794139254,0.009041634473201565,1.1706725022724955,Sun
12,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.12958310577098126,0.10209357363917713,0.029746950664482068,0.22955886484967686,2.2485143448988496,0.016517348313059114,1.1654445555864947,Sun
5,frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.04463863098488986,0.12958310577098126,0.010049153468050246,0.22512234910277323,1.7372816291395523,0.004264741027663462,1.1232959077102913,Sun
70,frozenset({'Organic Zucchini'}),frozenset({'Organic Baby Spinach'}),0.04871654833424358,0.09619515747314764,0.01095940287638813,0.2249626307922272,2.338606606626995,0.006273106837827361,1.166143567310442,Sun
31,frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.09619515747314764,0.1713089386491899,0.02151829601310759,0.22369417108251324,1.3057939232266154,0.005039205683190981,1.0674801482636957,Sun
3,frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.09619515747314764,0.12958310577098126,0.02137265610777353,0.22218016654049963,1.7145766434489524,0.008907388842274442,1.1190469267898138,Sun
32,frozenset({'Organic Cucumber'}),frozenset({'Banana'}),0.04624066994356454,0.1713089386491899,0.010085563444383761,0.21811023622047243,1.273198222698252,0.0021641233539242254,1.0598566444265143,Sun
39,frozenset({'Organic Zucchini'}),frozenset({'Banana'}),0.04871654833424358,0.1713089386491899,0.010595303113052977,0.21748878923766818,1.269570583722116,0.002249722923261749,1.0590149380013218,Sun
37,frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.10209357363917713,0.1713089386491899,0.02166393591844165,0.2121968616262482,1.2386794483666115,0.004174394175411305,1.0519011933126625,Sun
60,frozenset({'Organic Avocado'}),frozenset({'Organic Baby Spinach'}),0.07394866193336974,0.09619515747314764,0.015547059894411068,0.21024126046282618,2.185570105454777,0.008433556714802008,1.144406256341669,Sun
66,frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.06906972510467868,0.09619515747314764,0.013471691243400691,0.19504480759093304,2.0275948677081668,0.006827518160329107,1.1228014317442296,Sun
54,frozenset({'Limes'}),frozenset({'Organic Avocado'}),0.058692881849626795,0.07394866193336974,0.011177862734389223,0.1904466501240695,2.575390076640851,0.006837602656595958,1.1439040283244504,Sun
47,frozenset({'Large Lemon'}),frozenset({'Limes'}),0.08086655743673767,0.058692881849626795,0.015073730202075369,0.18640252138676272,3.175896557002133,0.010327438900854866,1.1569690699568227,Sun
48,frozenset({'Organic Avocado'}),frozenset({'Large Lemon'}),0.07394866193336974,0.08086655743673767,0.013726561077735299,0.18562284588872477,2.2954216399521954,0.007746587360130558,1.128633628685602,Sun
69,frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.09619515747314764,0.10209357363917713,0.017476788640087382,0.1816805450416351,1.7795492758803524,0.007655881246870343,1.0972566042762693,Sun
51,frozenset({'Large Lemon'}),frozenset({'Organic Baby Spinach'}),0.08086655743673767,0.09619515747314764,0.014563990533406153,0.180099054479964,1.8722257877714654,0.006785019306467835,1.1023341873982093,Sun
58,frozenset({'Limes'}),frozenset({'Organic Cilantro'}),0.058692881849626795,0.03426178772983798,0.010522483160385945,0.1792803970223325,5.232663235088589,0.008511560101201571,1.1766968996065768,Sun
56,frozenset({'Limes'}),frozenset({'Organic Baby Spinach'}),0.058692881849626795,0.09619515747314764,0.010449663207718915,0.17803970223325064,1.850817722118179,0.004803692195641217,1.0995723820024799,Sun
8,frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.12958310577098126,0.06906972510467868,0.022901875113781178,0.17673503793200337,2.55879167991696,0.013951605619969,1.130778446536672,Sun
68,frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.10209357363917713,0.09619515747314764,0.017476788640087382,0.17118402282453637,1.7795492758803526,0.007655881246870343,1.0904770991589046,Sun
49,frozenset({'Large Lemon'}),frozenset({'Organic Avocado'}),0.08086655743673767,0.07394866193336974,0.013726561077735299,0.16974335884736605,2.2954216399521954,0.007746587360130558,1.1153796213915323,Sun
